ZCTA,UHFCODE,UHFNAME,Borough,Month,Consumption (KWH),Consumption (KW),KWH Charges,KW Charges,Current Charges,Avg_Temp
10459,107,Hunts Point - Mott Haven,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10460,105,Crotona - Tremont,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10461,104,Pelham - Throgs Neck,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10462,104,Pelham - Throgs Neck,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10463,101,Kingsbridge - Riverdale,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10464,104,Pelham - Throgs Neck,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10465,104,Pelham - Throgs Neck,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10466,102,Northeast Bronx,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10467,103,Fordham - Bronx Park,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10468,103,Fordham - Bronx Park,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10469,102,Northeast Bronx,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10470,102,Northeast Bronx,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10471,101,Kingsbridge - Riverdale,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10472,104,Pelham - Throgs Neck,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10473,104,Pelham - Throgs Neck,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10474,107,Hunts Point - Mott Haven,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10475,102,Northeast Bronx,BRONX,2010-06-01,29475950.0,62026.57,1705404.1,789278.09,4245487.88,56.0
10451,106,High Bridge - Morrisania,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10452,106,High Bridge - Morrisania,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10453,105,Crotona - Tremont,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10454,107,Hunts Point - Mott Haven,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10455,107,Hunts Point - Mott Haven,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10456,106,High Bridge - Morrisania,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10457,105,Crotona - Tremont,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10458,103,Fordham - Bronx Park,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10459,107,Hunts Point - Mott Haven,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10460,105,Crotona - Tremont,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10461,104,Pelham - Throgs Neck,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10462,104,Pelham - Throgs Neck,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10463,101,Kingsbridge - Riverdale,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10464,104,Pelham - Throgs Neck,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10465,104,Pelham - Throgs Neck,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10466,102,Northeast Bronx,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10467,103,Fordham - Bronx Park,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10468,103,Fordham - Bronx Park,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10469,102,Northeast Bronx,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10470,102,Northeast Bronx,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10471,101,Kingsbridge - Riverdale,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10472,104,Pelham - Throgs Neck,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10473,104,Pelham - Throgs Neck,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10474,107,Hunts Point - Mott Haven,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10475,102,Northeast Bronx,BRONX,2010-07-01,39531115.0,73447.42,2285546.16,938408.15,5308979.78,56.7
10451,106,High Bridge - Morrisania,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10452,106,High Bridge - Morrisania,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10453,105,Crotona - Tremont,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10454,107,Hunts Point - Mott Haven,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10455,107,Hunts Point - Mott Haven,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10456,106,High Bridge - Morrisania,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10457,105,Crotona - Tremont,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10458,103,Fordham - Bronx Park,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10459,107,Hunts Point - Mott Haven,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10460,105,Crotona - Tremont,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10461,104,Pelham - Throgs Neck,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10462,104,Pelham - Throgs Neck,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10463,101,Kingsbridge - Riverdale,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10464,104,Pelham - Throgs Neck,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10465,104,Pelham - Throgs Neck,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10466,102,Northeast Bronx,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10467,103,Fordham - Bronx Park,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10468,103,Fordham - Bronx Park,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10469,102,Northeast Bronx,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10470,102,Northeast Bronx,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10471,101,Kingsbridge - Riverdale,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10472,104,Pelham - Throgs Neck,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10473,104,Pelham - Throgs Neck,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10474,107,Hunts Point - Mott Haven,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10475,102,Northeast Bronx,BRONX,2010-08-01,38492604.0,71291.95,2223285.2600000002,909138.58,5245463.8,56.9
10451,106,High Bridge - Morrisania,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10452,106,High Bridge - Morrisania,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10453,105,Crotona - Tremont,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10454,107,Hunts Point - Mott Haven,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10455,107,Hunts Point - Mott Haven,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10456,106,High Bridge - Morrisania,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10457,105,Crotona - Tremont,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10458,103,Fordham - Bronx Park,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10459,107,Hunts Point - Mott Haven,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10460,105,Crotona - Tremont,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10461,104,Pelham - Throgs Neck,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10462,104,Pelham - Throgs Neck,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10463,101,Kingsbridge - Riverdale,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10464,104,Pelham - Throgs Neck,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10465,104,Pelham - Throgs Neck,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10466,102,Northeast Bronx,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10467,103,Fordham - Bronx Park,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10468,103,Fordham - Bronx Park,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10469,102,Northeast Bronx,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10470,102,Northeast Bronx,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10471,101,Kingsbridge - Riverdale,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10472,104,Pelham - Throgs Neck,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10473,104,Pelham - Throgs Neck,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
10474,107,Hunts Point - Mott Haven,BRONX,2010-09-01,29817501.0,71026.0,1725963.66,904884.46,4604475.88,57.3
